ID,Pitcher,PitcherThrows,PitcherTeam,RelSpeed,SpinRate,SpinAxis,InducedVertBreak,HorzBreak,RelHeight,RelSide,RetagPitchType
413,Pitcher A,Right,Team A,93.61625,2492.757629,215.496576,8.1915,5.20862,5.6352,1.3372,Fastball
414,Pitcher A,Right,Team A,92.92683,2443.987323,213.254728,9.6578,5.76646,5.49991,1.7329,Fastball
415,Pitcher A,Right,Team A,82.12563,2993.486033,49.602035,-6.21028,-8.36914,5.44505,1.84828,Slider
416,Pitcher A,Right,Team A,78.36157,2892.565036,45.734068,-12.6369,-14.30083,5.68977,1.71746,Curveball
417,Pitcher A,Right,Team A,77.59833,2978.994294,56.141272,-9.76902,-16.5108,5.64687,1.53315,Curveball
418,Pitcher A,Right,Team A,93.77594,2532.504253,256.376691,4.03339,12.74091,5.48034,1.52009,Sinker
419,Pitcher A,Right,Team A,93.70935,2621.667346,210.419634,7.51981,3.89292,5.42583,1.91255,Fastball
420,Pitcher A,Right,Team A,83.47857,3026.857671,90.904645,1.39961,-8.40737,5.37607,1.89672,Slider
421,Pitcher A,Right,Team A,93.43399,2571.940042,209.512562,10.11064,5.19118,5.55452,1.72387,Fastball
422,Pitcher A,Right,Team A,84.39841,2989.492758,41.347005,-6.98465,-7.1028,5.42189,1.73007,Slider
423,Pitcher A,Right,Team A,80.85135,3082.259138,50.813355,-8.03886,-11.33414,5.6919,1.45411,Curveball
424,Pitcher A,Right,Team A,91.80392,2626.37295,221.207628,6.74244,4.95677,5.62302,1.50809,Fastball
425,Pitcher A,Right,Team A,84.53319,2903.853327,45.288842,-5.10697,-6.30422,5.41073,1.65566,Slider
426,Pitcher A,Right,Team A,81.97504,2934.324146,64.276602,-2.96988,-8.65658,5.46182,1.66916,Slider
427,Pitcher A,Right,Team A,91.63161,2644.029324,190.854351,11.95233,2.11043,5.56274,1.71302,Fastball
428,Pitcher A,Right,Team A,89.40657,1969.813043,249.393589,6.33075,14.22918,5.43935,1.7223,Changeup
429,Pitcher A,Right,Team A,93.23108,2398.934136,200.073861,8.03717,2.61791,5.436,1.80155,Fastball
430,Pitcher A,Right,Team A,78.25329,3086.133752,44.37224,-14.48906,-15.62832,5.66975,1.63527,Curveball
